year,doy,time,precip
2005,130,1400,0
2005,130,1430,0
2005,130,1500,0
2005,130,1530,0
2005,130,1600,0
2005,130,1630,0
2005,130,1700,0
2005,130,1730,0
2005,130,1800,0
2005,130,1830,0
2005,130,1900,0
2005,130,1930,0
2005,130,2000,0
2005,130,2030,0
2005,130,2100,0
2005,130,2130,0
2005,130,2200,0
2005,130,2230,0
2005,130,2300,0
2005,130,2330,0
2005,131,0,0
2005,131,30,0
2005,131,100,0
2005,131,130,0
2005,131,200,0
2005,131,230,0
2005,131,300,0
2005,131,330,0
2005,131,400,0
2005,131,430,0
2005,131,500,0
2005,131,530,0
2005,131,600,0
2005,131,630,0
2005,131,700,0
2005,131,730,0
2005,131,800,0
2005,131,830,0
2005,131,900,0
2005,131,930,0
2005,131,1000,0
2005,131,1030,0
2005,131,1100,0
2005,131,1130,0
2005,131,1200,0
2005,131,1230,0
2005,131,1300,0
2005,131,1330,0
2005,131,1400,0
2005,131,1430,0
2005,131,1500,0
2005,131,1530,4.2
2005,131,1600,0.5
2005,131,1630,0
2005,131,1700,0
2005,131,1730,0.2
2005,131,1800,0
2005,131,1830,0
2005,131,1900,0
2005,131,1930,0
2005,131,2000,0
2005,131,2030,0
2005,131,2100,0
2005,131,2130,0
2005,131,2200,0
2005,131,2230,0
2005,131,2300,0
2005,131,2330,0
2005,132,0,0
2005,132,30,0
2005,132,100,0
2005,132,130,0
2005,132,200,0
2005,132,230,0
2005,132,300,0
2005,132,330,0.1
2005,132,400,0
2005,132,430,0
2005,132,500,0
2005,132,530,0
2005,132,600,0
2005,132,630,0
2005,132,700,0
2005,132,730,0
2005,132,800,0
2005,132,830,0
2005,132,900,0
2005,132,930,0
2005,132,1000,0
2005,132,1030,0
2005,132,1100,0
2005,132,1130,0
2005,132,1200,0
2005,132,1230,0
2005,132,1300,0
2005,132,1330,0
2005,132,1400,0
2005,132,1430,0
2005,132,1500,0
2005,132,1530,0
2005,132,1600,0
2005,132,1630,0
2005,132,1700,0
2005,132,1730,0
2005,132,1800,0
2005,132,1830,0
2005,132,1900,0
2005,132,1930,0
2005,132,2000,0
2005,132,2030,0
2005,132,2100,0
2005,132,2130,0
2005,132,2200,0
2005,132,2230,0
2005,132,2300,0
2005,132,2330,0
2005,133,0,0
2005,133,30,0
2005,133,100,0
2005,133,130,0
2005,133,200,0
2005,133,230,0
2005,133,300,0
2005,133,330,0
2005,133,400,0
2005,133,430,0
2005,133,500,0
2005,133,530,0
2005,133,600,0
2005,133,630,0
2005,133,700,0
2005,133,730,0
2005,133,800,0
2005,133,830,0
2005,133,900,0
2005,133,930,0
2005,133,1000,0
2005,133,1030,0
2005,133,1100,0
2005,133,1130,0
2005,133,1200,0
2005,133,1230,0
2005,133,1300,0
2005,133,1330,0
2005,133,1400,0
2005,133,1430,0
2005,133,1500,0
2005,133,1530,0
2005,133,1600,0
2005,133,1630,0
2005,133,1700,0
2005,133,1730,0
2005,133,1800,0
2005,133,1830,0
2005,133,1900,0
2005,133,1930,0
2005,133,2000,0
2005,133,2030,0
2005,133,2100,0
2005,133,2130,0
2005,133,2200,0
2005,133,2230,0
2005,133,2300,0
2005,133,2330,0
2005,134,0,0
2005,134,30,0
2005,134,100,0
2005,134,130,0
2005,134,200,0
2005,134,230,0
2005,134,300,0
2005,134,330,0
2005,134,400,0
2005,134,430,0
2005,134,500,0
2005,134,530,0
2005,134,600,0
2005,134,630,0
2005,134,700,0
2005,134,730,0
2005,134,800,0
2005,134,830,0
2005,134,900,0
2005,134,930,0
2005,134,1000,0
2005,134,1030,0
2005,134,1100,0
2005,134,1130,0
2005,134,1200,0
2005,134,1230,0
2005,134,1300,0
2005,134,1330,0
2005,134,1400,0
2005,134,1430,0
2005,134,1500,0
2005,134,1530,0
2005,134,1600,0.1
2005,134,1630,0
2005,134,1700,0
2005,134,1730,0
2005,134,1800,0
2005,134,1830,0
2005,134,1900,0
2005,134,1930,0
2005,134,2000,0
2005,134,2030,0
2005,134,2100,0
2005,134,2130,0
2005,134,2200,0
2005,134,2230,0
2005,134,2300,0
2005,134,2330,0
2005,135,0,0
2005,135,30,0
2005,135,100,0
2005,135,130,0
2005,135,200,0
2005,135,230,0
2005,135,300,0
2005,135,330,0
2005,135,400,0
2005,135,430,0
2005,135,500,0
2005,135,530,0
2005,135,600,0.1
2005,135,630,0.2
2005,135,700,0
2005,135,730,0
2005,135,800,0.3
2005,135,830,0.9
2005,135,900,2.5
2005,135,930,2.4
2005,135,1000,1.5
2005,135,1030,1.5
2005,135,1100,1.8
2005,135,1130,0.7
2005,135,1200,0
2005,135,1230,0.2
2005,135,1300,0.2
2005,135,1330,0.2
2005,135,1400,0
2005,135,1430,0
2005,135,1500,0
2005,135,1530,0
2005,135,1600,0
2005,135,1630,0
2005,135,1700,0
2005,135,1730,0
2005,135,1800,0
2005,135,1830,0
2005,135,1900,0
2005,135,1930,0
2005,135,2000,0.1
2005,135,2030,0.3
2005,135,2100,0.5
2005,135,2130,0.2
2005,135,2200,0.1
2005,135,2230,0
2005,135,2300,0
2005,135,2330,0
2005,136,0,0
2005,136,30,0
2005,136,100,0.1
2005,136,130,0
2005,136,200,0
2005,136,230,0
2005,136,300,0
2005,136,330,0
2005,136,400,0
2005,136,430,0
2005,136,500,0
2005,136,530,0
2005,136,600,0
2005,136,630,0
2005,136,700,0
2005,136,730,0
2005,136,800,0
2005,136,830,0
2005,136,900,0
2005,136,930,0
2005,136,1000,0
2005,136,1030,0
2005,136,1100,0
2005,136,1130,0
2005,136,1200,0.2
2005,136,1230,0.4
2005,136,1300,0.7
2005,136,1330,0.3
2005,136,1400,0.1
2005,136,1430,0.1
2005,136,1500,0.1
2005,136,1530,0
2005,136,1600,0.1
2005,136,1630,0.1
2005,136,1700,0
2005,136,1730,0
2005,136,1800,0
2005,136,1830,0
2005,136,1900,0
2005,136,1930,0
2005,136,2000,0
2005,136,2030,0
2005,136,2100,0
2005,136,2130,0
2005,136,2200,0
2005,136,2230,0
2005,136,2300,0
2005,136,2330,0
2005,137,0,0
2005,137,30,0
2005,137,100,0
2005,137,130,0
2005,137,200,0
2005,137,230,0
2005,137,300,0
2005,137,330,0
2005,137,400,0
2005,137,430,0
2005,137,500,0
2005,137,530,0
2005,137,600,0
2005,137,630,0
2005,137,700,0
2005,137,730,0
2005,137,800,0
2005,137,830,0
2005,137,900,0
2005,137,930,0
2005,137,1000,0
2005,137,1030,0
2005,137,1100,0
2005,137,1130,0
2005,137,1200,0
2005,137,1230,0
2005,137,1300,0
2005,137,1330,0
2005,137,1400,0
2005,137,1430,0
2005,137,1500,0
2005,137,1530,0
2005,137,1600,0
2005,137,1630,0
2005,137,1700,0
2005,137,1730,0
2005,137,1800,0
2005,137,1830,0
2005,137,1900,0
2005,137,1930,0
2005,137,2000,0
2005,137,2030,0
2005,137,2100,0
2005,137,2130,0
2005,137,2200,0
2005,137,2230,0
2005,137,2300,0
2005,137,2330,0
2005,138,0,0
2005,138,30,0
2005,138,100,0
2005,138,130,0
2005,138,200,0
2005,138,230,0
2005,138,300,0
2005,138,330,0
2005,138,400,0
2005,138,430,0
2005,138,500,0
2005,138,530,0
2005,138,600,0
2005,138,630,0
2005,138,700,0
2005,138,730,0
2005,138,800,0
2005,138,830,0
2005,138,900,0.2
2005,138,930,0
2005,138,1000,0
2005,138,1030,0
2005,138,1100,0
2005,138,1130,0
2005,138,1200,0
2005,138,1230,0
2005,138,1300,0
2005,138,1330,0
2005,138,1400,0
2005,138,1430,0
2005,138,1500,0
2005,138,1530,0
2005,138,1600,0
2005,138,1630,0
2005,138,1700,0
2005,138,1730,0
2005,138,1800,0
2005,138,1830,0
2005,138,1900,0
2005,138,1930,0
2005,138,2000,0
2005,138,2030,0
2005,138,2100,0
2005,138,2130,0
2005,138,2200,0
2005,138,2230,0
2005,138,2300,0
2005,138,2330,0
2005,139,0,0
2005,139,30,0
2005,139,100,0
2005,139,130,0
2005,139,200,0
2005,139,230,0
2005,139,300,0
2005,139,330,0
2005,139,400,0
2005,139,430,0
2005,139,500,0
2005,139,530,0
2005,139,600,0
2005,139,630,0
2005,139,700,0
2005,139,730,0
2005,139,800,0
2005,139,830,0
2005,139,900,0
2005,139,930,0
2005,139,1000,0
2005,139,1030,0
2005,139,1100,0
2005,139,1130,0
2005,139,1200,0
2005,139,1230,0
2005,139,1300,0
2005,139,1330,0
2005,139,1400,0
2005,139,1430,0
2005,139,1500,0
2005,139,1530,0
2005,139,1600,0
2005,139,1630,0
2005,139,1700,0
2005,139,1730,0
2005,139,1800,0
2005,139,1830,0
2005,139,1900,0
2005,139,1930,0
2005,139,2000,0
2005,139,2030,0
2005,139,2100,0
2005,139,2130,0
2005,139,2200,0
